|       in0        |       in1        |zer|neg|zer|neg|fun|neg|       out0       |zer|neg|
| 1234             | 987              | 1 | 0 | 1 | 0 | 1 | 0 | 0                | 1 | 0 |
| 1234             | 987              | 1 | 1 | 1 | 1 | 1 | 1 | 1                | 0 | 1 |
| 1234             | 987              | 1 | 1 | 1 | 0 | 1 | 0 | -1               | 0 | 1 |
| 1234             | 987              | 0 | 0 | 1 | 1 | 0 | 0 | 1234             | 0 | 0 |
| 1234             | 987              | 1 | 1 | 0 | 0 | 0 | 0 | 987              | 0 | 0 |
| 1234             | 987              | 0 | 0 | 1 | 1 | 0 | 1 | -1235            | 0 | 0 |
| 1234             | 987              | 1 | 1 | 0 | 0 | 0 | 1 | -988             | 0 | 0 |
| 1234             | 987              | 0 | 0 | 1 | 1 | 1 | 1 | -1234            | 0 | 0 |
| 1234             | 987              | 1 | 1 | 0 | 0 | 1 | 1 | -987             | 0 | 0 |
| 1234             | 987              | 0 | 1 | 1 | 1 | 1 | 1 | 1235             | 0 | 1 |
| 1234             | 987              | 1 | 1 | 0 | 1 | 1 | 1 | 988              | 0 | 1 |
| 1234             | 987              | 0 | 0 | 1 | 1 | 1 | 0 | 1233             | 0 | 0 |
| 1234             | 987              | 1 | 1 | 0 | 0 | 1 | 0 | 986              | 0 | 0 |
| 1234             | 987              | 0 | 0 | 0 | 0 | 1 | 0 | 2221             | 0 | 0 |
| 1234             | 987              | 0 | 1 | 0 | 0 | 1 | 1 | 247              | 0 | 1 |
| 1234             | 987              | 0 | 0 | 0 | 1 | 1 | 1 | -247             | 0 | 0 |
| 1234             | 987              | 0 | 0 | 0 | 0 | 0 | 0 | 210              | 0 | 0 |
| 1234             | 987              | 0 | 1 | 0 | 1 | 0 | 1 | 2011             | 0 | 1 |
